session_id,round,player_id,player_name,modality,gems_collected,wall_hits,score,rank,time_at_level_1_ms,time_at_level_2_ms,time_at_level_3_ms,wall_contact_ms,os,os_version,device_model,screen_res,pixel_ratio,browser,session_timestamp
S1779177033742,1,anon_El7_WtJ7aZvhdNj7AAAH,Player,screen_flash,39,238,390,1,0,41132,140890,57400,,,,,,,2026-05-19T07:53:38.514Z
S1779177033742,1,anon_tFETZTSFhCrqYwfNAAAL,Player,none,36,187,360,2,0,53350,128672,32633,,,,,,,2026-05-19T07:53:38.514Z
S1779180567423,1,e3c4f55e-a268-4e80-bf1c-719be3aa419e,Eugene,audio,0,0,0,1,0,0,0,0,iPhone,,,375x812,3,Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHT,2026-05-19T08:49:29.806Z
S1779180567423,1,3ca68c37-a0cb-4e79-9037-04cef5ab0f00,wins,none,0,0,0,2,0,0,0,0,iPhone,,,402x874,3,Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHT,2026-05-19T08:49:29.806Z
S1779180589137,2,e3c4f55e-a268-4e80-bf1c-719be3aa419e,Eugene,audio,0,0,0,1,0,0,0,0,iPhone,,,375x812,3,Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHT,2026-05-19T08:49:57.620Z
S1779180801488,1,402cfb17-cea8-4b1f-a7bc-53bd1748b684,Eugene,screen_flash,154,17,1540,1,7508.489999999981,3524.95,11466.399999999949,2732.63000000001,iPhone,,,375x812,3,Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHT,2026-05-19T08:54:51.785Z
S1779180801488,1,1c506303-7144-46b0-ad0a-8c24f9d466db,wins,none,130,14,1300,2,6267.149999999987,4391.460000000007,14341.320000000009,2850.0199999999973,iPhone,,,402x874,3,Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHT,2026-05-19T08:54:51.785Z
S1779180986447,2,5d7e15d8-0826-4781-b35c-820f091b65dc,wins,audio,214,14,2140,1,5366.039999999969,3640.6700000000246,16134.339999999864,1258.1900000000044,iPhone,,,402x874,3,Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHT,2026-05-19T08:57:56.554Z
S1779180986447,2,402cfb17-cea8-4b1f-a7bc-53bd1748b684,Eugene,screen_flash,173,11,1730,2,1857.9299999999973,591.8699999999898,8524.950000000008,3858.3099999999854,iPhone,,,375x812,3,Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHT,2026-05-19T08:57:56.554Z
S1779181203217,5,ff5d0ae7-614b-4762-a0c9-014ab836af78,Eugene,screen_flash,73,0,730,1,4553.7100000000255,708.119999999995,0,0,iPhone,,,375x812,3,Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHT,2026-05-19T09:01:33.308Z
S1779181203217,5,a8c639ae-9366-4261-b988-58a8da0a4d27,ShanYuan,none,0,23,0,2,7273.839999999945,2050.6100000000256,20154.369999999868,2124.8899999999944,iPhone,,,390x844,3,Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (K,2026-05-19T09:01:33.308Z
